Handle,Titulo,Unidad Académica,Tipo
10915/63111,EnTornos,Facultad de Odontología,Revista
10915/946,Entrelíneas de la Política Económica,Facultad de Periodismo y Comunicación Social,Revista
10915/53843,Epistemus,Sociedad Argentina para las Ciencias Cognitivas de la Música (SACCoM),Revista
10915/30560,Estrategias - Psicoanálisis y Salud Mental,"Hospital Interzonal General de Agudos ""Prof. Dr. Rodolfo Rossi""",Revista
10915/32766,Estudios del Hábitat,Facultad de Arquitectura y Urbanismo,Revista
10915/68506,Extensión,Presidencia,Revista
10915/41226,Extensión en Red,Facultad de Periodismo y Comunicación Social,Revista
10915/806,Geograficando,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/63255,Hilvanando Experiencias,"Liceo ""Víctor Mercante"" (UNLP)",Revista
10915/853,Humanidades,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/931,Humanidades - Boletín de la Facultad de Humanidades y Ciencias de la Educación,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/54928,Improntas de la Historia y la Comunicación,Facultad de Periodismo y Comunicación Social,Revista
10915/38969,Investigación Joven,Facultad de Ciencias Agrarias y Forestales,Revista
10915/369,Journal of Computer Science &amp; Technology,Facultad de Informática,Revista
10915/1030,Journal Polytechnique ou Bulletin du Travail,École Polytechnique (Francia),Revista
10915/478,Katatay,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/19927,La Puerta FBA,Facultad de Bellas Artes,Revista
10915/207,Latin American Journal of Pharmacy,Colegio de Farmacéuticos de la Provincia de Buenos Aires,Revista
10915/46575,Letras,Facultad de Periodismo y Comunicación Social,Revista
10915/31525,Los Trabajos y los Días,Facultad de Trabajo Social,Revista
10915/43051,Maíz,Facultad de Periodismo y Comunicación Social,Revista
10915/245,MEDPAL,"Hospital Interzonal General de Agudos ""Prof. Dr. R. Rossi"" (La Plata)",Revista
10915/49539,METAL,Facultad de Bellas Artes,Revista
10915/752,Mundo Agrario,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/46375,Museo,Fundación Museo de La Plata,Revista
10915/51298,Nexo,Facultad de Bellas Artes,Revista
10915/42782,Nimio,Facultad de Bellas Artes,Revista
10915/41014,"Niños, Menores e Infancias",Facultad de Ciencias Jurídicas y Sociales,Revista
10915/1001,Notas en Turismo y Economía,Facultad de Ciencias Económicas,Revista
10915/55620,Octante,Facultad de Bellas Artes,Revista
10915/32748,Oficios Terrestres,Facultad de Periodismo y Comunicación Social,Revista
10915/645,Olivar,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/461,Orbis Tertius,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/795,Orientación y Sociedad,Facultad de Psicología,Revista
10915/832,Palabra Clave,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/61060,Pensando al Filo,"Liceo ""Víctor Mercante"" (UNLP)",Revista
10915/56861,Perspectivas en Educación Física,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/998,Plurentes,Facultad de Bellas Artes,Revista
10915/1009,ProBiota | CoBioBo,Facultad de Ciencias Naturales y Museo,Revista
10915/44077,ProBiota | Serie Arte y Sociedad,Facultad de Ciencias Naturales y Museo,Revista
10915/485,ProBiota | Serie Documentos,Facultad de Ciencias Naturales y Museo,Revista
10915/26289,ProBiota | Serie Documentos Relacionados,Facultad de Ciencias Naturales y Museo,Revista
10915/1012,ProBiota | Serie Técnica y Didáctica,Facultad de Ciencias Naturales y Museo,Revista
10915/33635,Prospectiva,"Colegio Nacional ""Rafael Hernández""",Revista
10915/50294,Puertas Abiertas,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/29475,Questión,Facultad de Periodismo y Comunicación Social,Revista
10915/20026,Relaciones de la Sociedad Argentina de Antropología,Sociedad Argentina de Antropología (SAA),Revista
10915/402,Relaciones Internacionales,Facultad de Ciencias Jurídicas y Sociales,Revista
10915/67850,REVCOM,Red de Carreras de Comunicación Social y Periodismo (REDCOM),Revista
10915/26193,Revista,Facultad de Ciencias Exactas,Revista
10915/52,Revista Argentina de Antropología Biológica,Asociación de Antropología Biológica Argentina (AABA),Revista
10915/41228,Revista Argentina de Estudios de Juventud,Facultad de Periodismo y Comunicación Social,Revista
10915/53659,Revista de Estudios Regionales y Mercado de Trabajo,Sistema de Información del Mercado Laboral (SIMEL),Revista
10915/903,Revista de Filosofía,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/672,Revista de Filosofía y Teoría Política,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/60853,Revista de Interés Público,Facultad de Ciencias Jurídicas y Sociales,Revista
10915/44672,Revista de Investigaciones en Técnica Vocal,Facultad de Bellas Artes,Revista
10915/983,Revista de la Facultad de Agronomía,Facultad de Ciencias Agrarias y Forestales,Revista
10915/452,Revista de la Facultad de Ciencias Médicas de la Universidad Nacional de La Plata,Facultad de Ciencias Médicas,Revista
10915/62996,Revista de la Facultad de Odontología,Facultad de Odontología,Revista
10915/68438,Revista de la Universidad,Presidencia,Revista
10915/64778,Revista del Museo de La Plata,Facultad de Ciencias Naturales y Museo,Revista
10915/619,Revista de Psicología,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/897,Revista de Psicología - Segunda Época,Facultad de Psicología,Revista
10915/55509,Revista Derechos en Acción (ReDeA),Facultad de Ciencias Jurídicas y Sociales,Revista
10915/25785,Revista Latinoamericana de Metodología de las Ciencias Sociales (RELMECS),Facultad de Humanidades y Ciencias de la Educación,Revista
10915/843,Románica,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/747,Serie Pedagógica,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/901,Serie Trabajos Docentes,Facultad de Ciencias Económicas,Revista
10915/25988,Sociedades Precapitalistas,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/776,Sociohistórica,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/255,Synthesis,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/20284,Tableros,Facultad de Bellas Artes,Revista
10915/927,Tarea,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/836,TE &amp; ET,Facultad de Informática,Revista
10915/979,Tercera Época,Facultad de Ciencias Médicas,Revista
10915/574,Trabajos y Comunicaciones,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/32920,Trampas de la Comunicación y la Cultura,Facultad de Periodismo y Comunicación Social,Revista
10915/48969,Trayectorias Universitarias,Presidencia,Revista
10915/63732,Voces Emergentes,Facultad de Trabajo Social,Revista
10915/36178,Otras Series IRI,Facultad de Ciencias Jurídicas y Sociales,Revista
10915/34186,Documentos de Trabajo Economicas,Facultad de Ciencias Económicas,Revista
10915/74115,Anales de Medicina Interna,Facultad de Ciencias Médicas,Revista
10915/71226,Proyecciones,Facultad de Ciencias Económicas,Revista
10915/71623,Hilo_s Documentales,Presidencia,Revista
10915/38921,Arte y diseño. Nuevos escenarios espaciales y sociales,Facultad de Bellas Artes,Evento
10915/43375,Congreso Internacional de Códigos y Desafíos para Enfrentar la Crisis del Agua,Facultad de Ciencias Jurídicas y Sociales,Evento
10915/29253,I Coloquio Argentino de Estudios sobre el Libro y la Edición,Facultad de Humanidades y Ciencias de la Educación,Evento
10915/40635,I Congreso Iberoamericano de Investigación Artística y Proyectual (CIDIAP),Facultad de Bellas Artes,Evento
10915/69369,"I Encuentro Cuerpo, Educación y Sociedad",Facultad de Humanidades y Ciencias de la Educación,Evento
10915/55289,III Congreso Argentino de Ingeniería Aeronáutica (CAIA 3),Facultad de Ingeniería,Evento
10915/58845,III Congreso Internacional de Literatura y Cultura Españolas Contemporáneas,Facultad de Humanidades y Ciencias de la Educación,Evento
10915/52045,III Encuentro Platense de Investigadores sobre Cuerpo en las Artes Escénicas y Performáticas (ECART),Facultad de Humanidades y Ciencias de la Educación,Evento
10915/63440,III Foro Latinoamericano de Trabajo Social,Facultad de Trabajo Social,Evento
10915/40723,III Jornadas sobre Arte y Arquitectura en Argentina,Facultad de Arquitectura y Urbanismo,Evento
10915/43186,III Seminario de Distribución del Conocimiento en Turismo,Facultad de Ciencias Económicas,Evento
10915/39639,II Jornadas de Historia del Arte Argentino,Facultad de Bellas Artes,Evento
10915/34975,II Jornadas Iberoamericanas de Financiación Local,Facultad de Ciencias Económicas,Evento
10915/51668,I  Jornada de Debate: Investigación y Evaluación en Humanidades y Ciencias Sociales,Facultad de Humanidades y Ciencias de la Educación,Evento
10915/56608,I Jornadas de Estudios Sociales de la Música,Facultad de Trabajo Social,Evento
10915/52709,I Jornadas de Humanidades Digitales,Asociación Argentina de Humanidades Digitales,Evento
10915/25928,I Jornadas Iberoamericanas de Difusión y Capacitación  sobre Televisión Digital Interactiva,Facultad de Informática,Evento
